Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
105,dmPFC,Relative,12.81789593391157,1.5339655597754571,-1.5339672869447123,1.0,0.0,0.0,0.0,0.2817679620807745,0.05639475538937077,0.05033451489129028,0.0,0.0,0.0,0.0,-1.727169255172356e-06,0.022701369867641256,0.02827795605936334,2371828.7990073697,-2413.7574599273503
106,vmPFC,Null,18.009608146524474,0.0,0.0,1.0,0.0,0.0,0.0,0.3790187835843315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007827815136784766,2635273.120162717,0.0
106,OFCmed,Null,16.127289575766113,0.0,0.0,1.0,0.0,0.0,0.0,0.31438485501595764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009112375768377201,2528393.68134381,0.0
106,dmPFC,Null,17.10921571930704,0.0,0.0,1.0,0.0,0.0,0.0,0.4702001348671165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00460056051924429,2758504.367775971,0.0
106,vmPFC,Absolute,16.731583682679656,-2.1716548205833722e-07,0.0,1.0,0.0,0.0,0.0,0.3792265572532245,0.026572077959292267,0.0,0.0,0.0,0.0,0.0,-2.1716548205833722e-07,0.026572077959292267,0.007646253255779167,2635336.982477367,63.86231464985758
106,OFCmed,Absolute,15.322994647590882,-1.3698468706405005e-07,0.0,1.0,0.0,0.0,0.0,0.314544991152351,0.02204056917818411,0.0,0.0,0.0,0.0,0.0,-1.3698468706405005e-07,0.02204056917818411,0.009006525709870261,2528435.77543125,42.094087440054864
106,dmPFC,Absolute,14.64789754173358,-4.1844336647944824e-07,0.0,1.0,0.0,0.0,0.0,0.47051711200652946,0.03297387629075546,0.0,0.0,0.0,0.0,0.0,-4.1844336647944824e-07,0.03297387629075546,0.004166487487624604,2758640.545196136,136.17742016492411
106,vmPFC,Relative,15.706113349122802,0.008102318175943446,-0.00810220111335909,1.0,0.0,0.0,0.0,0.40888890994740595,0.039621933246028605,0.05391346478697726,0.0,0.0,0.0,0.0,1.170625843569667e-07,0.026531312491001418,0.007241449227893493,2635465.115619394,191.9954566769302
106,OFCmed,Relative,13.133011144404554,0.2916270614909066,-0.291627812267946,1.0,0.0,0.0,0.0,0.391079653567201,0.03139950385686967,0.04038296330539968,0.0,0.0,0.0,0.0,-7.507770393710977e-07,0.027766388246137218,0.010025506624364522,2528153.2921825214,-240.38916128873825
106,dmPFC,Relative,12.898928044063611,-0.04508684562280587,0.04508680146180762,1.0,0.0,0.0,0.0,0.5074789783256591,0.04917545452219046,0.06691291677305224,0.0,0.0,0.0,0.0,-4.4160998247111394e-08,0.03292846257447841,0.0031371830788744504,2758947.385508809,443.0177328377031
107,vmPFC,Null,16.456165147149083,0.0,0.0,1.0,0.0,0.0,0.0,0.2568145766567901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015608391512134001,2164106.3494354966,0.0
107,OFCmed,Null,15.75882079545966,0.0,0.0,1.0,0.0,0.0,0.0,0.2430550353191125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01598330574069151,2135548.3469579015,0.0
107,dmPFC,Null,24.27370222643995,0.0,0.0,1.0,0.0,0.0,0.0,0.42701370168788183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012302616018542545,2427799.707033545,0.0
107,vmPFC,Absolute,16.174915638016618,0.17948748492045719,0.0,1.0,0.0,0.0,0.0,0.2701133800843951,0.05343247398431302,0.0,0.0,0.0,0.0,0.0,0.17948748492045719,0.05343247398431302,0.015647430698190412,2164107.531408411,1.1819729143753648
107,OFCmed,Absolute,15.444545924658666,0.20056356951566878,0.0,1.0,0.0,0.0,0.0,0.25563912745524914,0.05056924988547665,0.0,0.0,0.0,0.0,0.0,0.20056356951566878,0.05056924988547665,0.0160392012546392,2135545.0828715223,-3.2640863792039454
107,dmPFC,Absolute,24.23309640902065,0.025913856447909334,0.0,1.0,0.0,0.0,0.0,0.4491357405337694,0.08884577883422165,0.0,0.0,0.0,0.0,0.0,0.025913856447909334,0.08884577883422165,0.01229913097584312,2427812.087720047,12.380686502438039
